JuanEmilioVare2,2019-10-10 23:59:24,,"RT @elentirvigo: Pablo Motos es el perfecto progre: llama ""derecho"" a liquidar a los hijos por nacer (los llama ""cigotos"", sic) y dice que…"
cuscomita6254,2019-10-10 23:59:23,Zamora/Madrid-Torrelodones.,"RT @vox_es: 📺 @Santi_ABASCAL en @El_Hormiguero 🐜

""El otro día hablamos de la emergencia social que viven los españoles: la carestía de la…"
Megawif,2019-10-10 23:59:22,Embajadores fuera!,"RT @vox_es: 📺 @Santi_ABASCAL en @El_Hormiguero 🐜

"" (Sobre la eutanasia) Nos ponen la reflexión sobre Ramón Sampedro, un hombre en pleno us…"
Mariia_2202,2019-10-10 23:59:20,En el país de las maravillas,"RT @MontserratAmat: Bramáis contra la primera y jaleabais la segunda, os molesta un demócrata y alabáis a un terrorista, no tenéis vergüenz…"
josemartinez_88,2019-10-10 23:59:20,"Almería, España","RT @vox_es: 📺 @Santi_ABASCAL en @El_Hormiguero 🐜

""Somos los únicos que no permitiríamos que salgan los violadores de mujeres de las cárcel…"
tomas_piza3,2019-10-10 23:59:18,,"RT @CasoAislado_Es: Contundentes palabras de Santiago Abascal, presidente de @vox_es, durante su intervención en El Hormiguero. #SantiagoAb…"
ociocenter,2019-10-10 23:59:17,,RT @Ro_Edp: @El_Hormiguero ¿que tal este guión  para cuando vaya Pablo Iglesias? Ya habeis marcado el liston para esta campaña...¿estareis…
marisaa08,2019-10-10 23:59:16,,RT @RaulAstorki: Verdades como puños. #SantiagoAbascalEH https://t.co/qothzxfcbE
th3marty,2019-10-10 23:59:15,,RT @Gusanno_Gris: Anormalidad en El Hormiguero... Ha sido el único invitado con el que no ha salido ningún colaborador del programa. Entrev…
MalulaCon,2019-10-10 23:59:14,Venezuela,RT @Igarrigavaz: Vaya si resulta que después de la entrevista a @Santi_ABASCAL millones de españoles han descubierto que los de VOX ni son…
calixtaberry,2019-10-10 23:59:13,España,"RT @FroilLannister: El perdedor de esta entrevista, como de todo lo que llevamos de campaña, es Pedro Sánchez, al que Pablo Motos ha dejado…"
prodiastur,2019-10-10 23:59:13,,"RT @AgustinRosety: A nadie le han hecho una entrevista en el hormiguero como la que le han hecho hoy a @Santi_ABASCAL 

Y ha salido más que…"
miguelsnapchez,2019-10-10 23:59:10,,"RT @AnabelAlonso_of: ""Si hay un niño que nadie quiere y lo quiere adoptar una pareja gay, pues bueno, pero siempre es preferible  un hombre…"
aratobio,2019-10-10 23:59:09,"Cádiz, España",RT @JuanfraEscudero: 🗣Dice Abascal en El Hormiguero que defendería la frontera de Melilla con muros más grandes si es necesario y mandaría…
GascoJuanjo,2019-10-10 23:59:09,Torrent (Valencia) España🇪🇸,"RT @rimbaudarth: El guión de la entrevista de Pablo Motos debía ser algo así: 

⬛️ Fascista

⬛️ Xenófobo 

⬛️ Homófobo 

⬛️ Violento

⬛️ Ma…"
cuscomita6254,2019-10-10 23:59:09,Zamora/Madrid-Torrelodones.,"RT @vox_es: 📺 @Santi_ABASCAL en @El_Hormiguero 🐜

""Somos los únicos que no permitiríamos que salgan los violadores de mujeres de las cárcel…"
CeliaCoria33,2019-10-10 23:59:08,,RT @elespanolazo: #SantiagoAbascalEH Pablo Motos es un periodista objetivo que trata por igual a todos sus invitados. https://t.co/VPHtlRQn…
SEIJO_SEIJO,2019-10-10 23:59:08,Venezuela,"RT @AgustinRosety: A nadie le han hecho una entrevista en el hormiguero como la que le han hecho hoy a @Santi_ABASCAL 

Y ha salido más que…"
Megawif,2019-10-10 23:59:07,Embajadores fuera!,RT @GladiatorAstur: Pablo Motos ha hecho todo lo posible para no parecer cercano y cariñoso con @Santi_ABASCAL. Denota cierto ACOJONE de lo…
PajaritoEspanol,2019-10-10 23:59:07,,"RT @vox_es: 📺 @Santi_ABASCAL en @El_Hormiguero 🐜

""Yo me saqué la licencia de armas para proteger a mi padre en el País Vasco"".

 📢 #Santia…"
Astrid5555,2019-10-10 23:59:06,,"RT @ExtremoDerecho7: Pablo Motos, sin quererlo, le está haciendo a Abascal la mejor campaña posible haciéndole la entrevista más dura que h…"
nereaalzola,2019-10-10 23:59:06,"De Bilbao, en Madrid.","RT @ExtremoDerecho7: Pablo Motos, sin quererlo, le está haciendo a Abascal la mejor campaña posible haciéndole la entrevista más dura que h…"
franciacantu,2019-10-10 23:59:05,,RT @Igarrigavaz: Vaya si resulta que después de la entrevista a @Santi_ABASCAL millones de españoles han descubierto que los de VOX ni son…
CoqueMalagueno,2019-10-10 23:59:04,,"RT @vox_es: 📺 @Santi_ABASCAL en @El_Hormiguero 🐜

""Ordenaría la detención de Torra, la suspensión de la autonomía de Cataluña, cerrar TV3 y…"
arturo_amv15,2019-10-10 23:59:04,Mallorca,"RT @CasoAislado_Es: A ver si se enteran los progres. Pablo Motos no lo ha podido explicar mejor. #SantiagoAbascalEH. ""No sería democrático…"
turutas72,2019-10-10 23:59:04,bilbao,"RT @AnabelAlonso_of: ""Si hay un niño que nadie quiere y lo quiere adoptar una pareja gay, pues bueno, pero siempre es preferible  un hombre…"
macor972,2019-10-10 23:59:03,EL MUNDO,"RT @vox_es: 📺 @Santi_ABASCAL en @El_Hormiguero 🐜

""Ordenaría la detención de Torra, la suspensión de la autonomía de Cataluña, cerrar TV3 y…"
LAGOCHAMARACAY,2019-10-10 23:59:03,"Güigüe, Venezuela","RT @vox_es: 📺 @Santi_ABASCAL en @El_Hormiguero 🐜

"" El objetivo no es desenterrar a Franco. Es la excusa, el objetivo es Felipe VI y aún má…"
JUANESPEP,2019-10-10 23:59:02,,RT @Aker54503314: #SantiagoAbascalEH Que escándalo Santiago Abascal en televisión... https://t.co/M5TVsANDqJ
Megawif,2019-10-10 23:58:59,Embajadores fuera!,"RT @AgustinRosety: A nadie le han hecho una entrevista en el hormiguero como la que le han hecho hoy a @Santi_ABASCAL 

Y ha salido más que…"
RolandoRH,2019-10-10 23:58:59,Venezuela,"RT @Crismartinezesp: Ha sido lamentable la actitud del entrevistador Pablo Motos, solo le han preguntado por temas populistas donde sabían…"
ProVida_ProVox,2019-10-10 23:58:58,No leo DM,RT @Igarrigavaz: Vaya si resulta que después de la entrevista a @Santi_ABASCAL millones de españoles han descubierto que los de VOX ni son…
CiaGom,2019-10-10 23:58:57,SAN FERMIN,RT @JJCuerda: Quien tenga falta de memoria histórica que vote a Vox para una lección inmersiva. @eljueves #SantiagoAbascalEH https://t.co/P…
Nicole_molamazo,2019-10-10 23:58:57,,"RT @diostuitero: Gracias a la entrevista a #SantiagoAbascalEH hemos descubierto que su currículum laboral se reduce a ""una empresa que tuve…"
MorCampos33,2019-10-10 23:58:56,Triana,RT @FerminCasad: Aprended de lo que esta diciendo Pablo Motos por favor #SantiagoAbascalEH Me parece lamentable que un programa privado ten…
JorgeRichterR,2019-10-10 23:58:56,"Concepción, Chile","RT @_Sapientiae: Cuando te mola más un comunista que no tiene pudor en levantar el puño, que homenajea al Che homófobo, que ríe con azotar…"
mestremanuel,2019-10-10 23:58:56,,"RT @vox_es: 📺 @Santi_ABASCAL en @El_Hormiguero 🐜

""Sí, he toreado pero sin muerte. Y se me secó la boca más que en ésta entrevista"".

 📢 #S…"
LAGOCHAMARACAY,2019-10-10 23:58:55,"Güigüe, Venezuela",RT @Ivan_de_Vargas: Estoy orgulloso de #SantiagoAbascalEH. Me representa. Su entrevista en @El_Hormiguero es la más agresiva que ha realiza…
Astrid5555,2019-10-10 23:58:54,,RT @albertoluni: Pablo Motos cada vez que intenta dejar en evidencia a Abascal y no lo consigue #SantiagoAbascalEH https://t.co/eWaZckMtn8
Megawif,2019-10-10 23:58:53,Embajadores fuera!,"RT @vox_es: 📺 @Santi_ABASCAL en @El_Hormiguero 🐜

""Nosotros defendemos la ley de legítima defensa. Que una persona pueda defender su propie…"
carlotagopu,2019-10-10 23:58:53,"Castelldefels, España","RT @AnabelAlonso_of: ""Si hay un niño que nadie quiere y lo quiere adoptar una pareja gay, pues bueno, pero siempre es preferible  un hombre…"
israelhaunting,2019-10-10 23:58:52,,"RT @Mazzinguerzett1: Y después de está gran entrevista que estoy viendo de Santiago Abascal, sin tapujos, sin caer en las trampas y sin mie…"
fimalour,2019-10-10 23:58:51,,RT @jmdelalamo: Ha sido la entrevista más seria que ha hecho El Hormiguero nunca. Es probable que la de los otros candidatos tenga otro ton…
PRondan,2019-10-10 23:58:50,,RT @piojemos: #SantiagoAbascalEH Espero que miles de mujeres indecisas hayan escuchado decir al líder de Vox que un violador no debería sal…
Skorpionss,2019-10-10 23:58:50,"Torremolinos, España",RT @El_Hormiguero: .@Santi_ABASCAL nos habla sobre sus planteamientos de cara a las elecciones #SantiagoAbascalEH https://t.co/fkYK7Xik6z
Megawif,2019-10-10 23:58:50,Embajadores fuera!,"RT @vox_es: 📺 @Santi_ABASCAL en @El_Hormiguero 🐜

""¿Cómo me va a molestar a mí que dos gays se besen por la calle? De ninguna manera"".

 📢…"
MariaBB37965379,2019-10-10 23:58:49,"Barcelona,Reino de España 🇪🇸",RT @rimbaudarth: ¿Por qué los que estaban escandalizados con que Martínez Almeida eligiera Notre Dame hoy no aplauden que Abascal elija el…
jonathaneko98,2019-10-10 23:58:49,"Aguilas, Murcia, ESPAÑITA",RT @joselazobuzon: Abascal:No soy facha #SantiagoAbascalEH https://t.co/itAXzfu4NO
msmoviedo,2019-10-10 23:58:47,"Oviedo, España",RT @Sigridmdrd: En vez una entrevista parece un juicio sumario...que asco de medios y periodistas. Seguro que con Otegui no se le ocurre po…
mestremanuel,2019-10-10 23:58:47,,"RT @vox_es: 📺 @Santi_ABASCAL en @El_Hormiguero 🐜

""Yo me saqué la licencia de armas para proteger a mi padre en el País Vasco"".

 📢 #Santia…"
Claitaita,2019-10-10 23:58:46,"Valencia, Spain","RT @eledhmel: .@Santi_ABASCAL: ""Nosotros defendemos a las mujeres porque queremos que los violadores estén en la cárcel y no queremos que o…"
Sylebram64,2019-10-10 23:58:46,"Toledo, España",RT @pablocast13: Un poco cobarde Pedro Sánchez que ni coge el móvil. #SantiagoAbascalEH https://t.co/j96kodOsMH
LauraaTravesi,2019-10-10 23:58:45,"Cádiz, España","RT @_David_Iglesias: Dice Abascal: ""no soy homófobo"". En la frase siguiente afirma que ante una adopción, mejor darle el niño a una familia…"
Jackie_yo_soy,2019-10-10 23:58:44,,"RT @vox_es: 📺 @Santi_ABASCAL en @El_Hormiguero 🐜

""¿Cómo me va a molestar a mí que dos gays se besen por la calle? De ninguna manera"".

 📢…"
Aletheia_Cadie,2019-10-10 23:59:59,"Valencia, España","RT @jonviene: Hablando sobre la adopción por parte de personas homosexuales, Abascal prácticamente ha dicho: ""Hombre, si les sobra un niño…"
JusaFernando,2019-10-10 23:59:59,,"RT @ManhattanManOne: No he podido ver el programa, pero este corte de @Santi_ABASCAL “Yo donaría  primero para el Amazonas, porque la obra…"
EEvadidac,2019-10-10 23:59:58,,"RT @vox_es: 📺 @Santi_ABASCAL en @El_Hormiguero 🐜

""Nosotros defendemos la ley de legítima defensa. Que una persona pueda defender su propie…"
Jaferez76,2019-10-10 23:59:56,,"RT @elentirvigo: Pablo Motos es el perfecto progre: llama ""derecho"" a liquidar a los hijos por nacer (los llama ""cigotos"", sic) y dice que…"
gcs9s,2019-10-10 23:59:56,,"RT @_Sapientiae: Cuando te mola más un comunista que no tiene pudor en levantar el puño, que homenajea al Che homófobo, que ríe con azotar…"
ColchoneroG,2019-10-10 23:59:56,,"RT @vox_es: 📺 @Santi_ABASCAL en @El_Hormiguero 🐜

""Somos los únicos que no permitiríamos que salgan los violadores de mujeres de las cárcel…"
MarinaPizcopi,2019-10-10 23:59:55,,"RT @luciacuervas: Abascal: ""Yo también represento al colectivo homosexual, no se por que se nos acusa de homófobos""  #SantiagoAbascalEH htt…"
SilvanaAloap,2019-10-10 23:59:55,,"RT @vox_es: 📺 @Santi_ABASCAL en @El_Hormiguero 🐜

""Somos los únicos que no permitiríamos que salgan los violadores de mujeres de las cárcel…"
prodiastur,2019-10-10 23:59:54,,"RT @isaacj: Para mí la frase de la noche ha sido:

""No he venido a convencerte sino a representar a los que piensan como yo""

#SantiagoAbas…"
MariaBB37965379,2019-10-10 23:59:53,"Barcelona,Reino de España 🇪🇸","RT @CasoAislado_Es: Contundentes palabras de Santiago Abascal, presidente de @vox_es, durante su intervención en El Hormiguero. #SantiagoAb…"
karloxt1,2019-10-10 23:59:53,Arganda del Rey,"RT @isaacj: Para mí la frase de la noche ha sido:

""No he venido a convencerte sino a representar a los que piensan como yo""

#SantiagoAbas…"
mayca02,2019-10-10 23:59:51,,"RT @amandaschez: Resumen de la entrevista de Pablo Motos:

- ¿Eres facha?
- ¿Te dan asco los homosexuales?
- ¿Vas a echar a todos los inmig…"
iopp,2019-10-10 23:59:51,"Gatineau, Québec","RT @ManhattanManOne: No he podido ver el programa, pero este corte de @Santi_ABASCAL “Yo donaría  primero para el Amazonas, porque la obra…"
__Haridian__,2019-10-10 23:59:49,,RT @nacholeyun: Coge Pablo Motos y dedica los 3 primeros minutos del programa más esperado hasta ahora a desmontar las mentiras del @PSOE y…
isramadrigal,2019-10-10 23:59:49,"Pinto (Madrid), España","RT @vox_es: 📺 @Santi_ABASCAL en @El_Hormiguero 🐜

""Ordenaría la detención de Torra, la suspensión de la autonomía de Cataluña, cerrar TV3 y…"
Megawif,2019-10-10 23:59:48,Embajadores fuera!,RT @Brand_Moody: 24.000.000 más de € para crear 120 plazas de MENAS solo en la comunidad de Madrid + gastos médicos pagas y manutención. Qu…
Moseguello,2019-10-10 23:59:47,España,RT @MuyLiberal: La diferencia entre @Santi_ABASCAL y los demás es que él no pretende agradar a todo el mundo ni pide el voto de todos. @vox…
8_albi,2019-10-10 23:59:46,"Gijón, España","RT @luciacuervas: Abascal: ""Yo también represento al colectivo homosexual, no se por que se nos acusa de homófobos""  #SantiagoAbascalEH htt…"
PaulaDelgado0,2019-10-10 23:59:46,Málaga,RT @albertoluni: Pablo Motos cada vez que intenta dejar en evidencia a Abascal y no lo consigue #SantiagoAbascalEH https://t.co/eWaZckMtn8
stefanysasso,2019-10-10 23:59:43,,RT @JuanfraEscudero: 🗣Dice Abascal en El Hormiguero que defendería la frontera de Melilla con muros más grandes si es necesario y mandaría…
Megawif,2019-10-10 23:59:43,Embajadores fuera!,RT @Ivan_de_Vargas: Estoy orgulloso de #SantiagoAbascalEH. Me representa. Su entrevista en @El_Hormiguero es la más agresiva que ha realiza…
Jackie_yo_soy,2019-10-10 23:59:43,,"RT @PorHispania: #santiagoabascalEH

Una buena persona, sincera, legal, respetuosa. Una persona que mira a los ojos.

Ha bordado su presenc…"
VoxEuropas,2019-10-10 23:59:42,España,"RT @vox_es: 📺 @Santi_ABASCAL en @El_Hormiguero 🐜

""Nosotros defendemos la ley de legítima defensa. Que una persona pueda defender su propie…"
robertosssrf,2019-10-10 23:59:41,Leon,"RT @Javi__ESP: El zasca del Amazonas se ha sentido hasta en la luna: ""Salvaria antes al Amazonas que a NotreDame, es más importante la obra…"
QUASCODAIS1,2019-10-10 23:59:41,,"RT @damepacienciaya: #SantiagoAbascalEH
Teo después de ver a Abascal en el Hormiguero https://t.co/HgQqgGNUTk"
pallaron12,2019-10-10 23:59:41,"Asturias ,Aviles.",RT @JOSEMANUELSOTO1: Aqui sentado para ver a @Santi_ABASCAL en @El_Hormiguero y me entero de q el único líder q no ha querido ir es @sanche…
rickygg17,2019-10-10 23:59:39,,"RT @GandalfGris_: Qué relajadito Pablo Motos con Santiago Abascal, igualito que con Pablenin, ¿eh? #SantiagoAbascalEH https://t.co/ucZpQbHl…"
davidruiz56,2019-10-10 23:59:39,Buenos Aires - Argentina,"RT @vox_es: 📺 @Santi_ABASCAL en @El_Hormiguero 🐜

""Ordenaría la detención de Torra, la suspensión de la autonomía de Cataluña, cerrar TV3 y…"
nosenadaya,2019-10-10 23:59:39,,"RT @AnabelAlonso_of: ""Si hay un niño que nadie quiere y lo quiere adoptar una pareja gay, pues bueno, pero siempre es preferible  un hombre…"
PaulaDelgado0,2019-10-10 23:59:38,Málaga,Que vergüenza de entrevista la de Pablo Motos a Santiago Abascal que poco respeto y que poca profesionalidad.  #SantiagoAbascalEH
msmoviedo,2019-10-10 23:59:36,"Oviedo, España","RT @Mazzinguerzett1: Y después de está gran entrevista que estoy viendo de Santiago Abascal, sin tapujos, sin caer en las trampas y sin mie…"
ociocenter,2019-10-10 23:59:36,,"RT @TuiteroApostol: Intentento de tirar por el suelo a @Santi_ABASCAL  solo consiguió que luciera aún más un hombre con valores, lo que no…"
Megawif,2019-10-10 23:59:35,Embajadores fuera!,"RT @espartano533: Pablo Motos ha buscado embarrar el terreno, pero es que Santiago Abascal se explica muy bien, habla claro y sobre todo ti…"
Monleon_P,2019-10-10 23:59:34,"Barcelona, España","RT @_esther_sanz: Si una mujer quiere abortar, que lo haga. Con su dinero. No con el de todos. Es así de simple.
#SantiagoAbascalEH"
JusaFernando,2019-10-10 23:59:34,,"RT @firerats2: Abascal repeliendo los ataques continuos, perdón, las preguntas de Pablo Motos.

#SantiagoAbascalEH https://t.co/8gz9Y3tvn8"
perezlealypunto,2019-10-10 23:59:33,,"RT @elentirvigo: Pablo Motos es el perfecto progre: llama ""derecho"" a liquidar a los hijos por nacer (los llama ""cigotos"", sic) y dice que…"
antmessi1,2019-10-10 23:59:32,"Albacete, España","RT @AnabelAlonso_of: ""Si hay un niño que nadie quiere y lo quiere adoptar una pareja gay, pues bueno, pero siempre es preferible  un hombre…"
Megawif,2019-10-10 23:59:30,Embajadores fuera!,"RT @vox_es: 📺 @Santi_ABASCAL en @El_Hormiguero 🐜

""Sí es verdad que el PSOE nos ha utilizado para meter miedo: han dicho barbaridades de no…"
prodiastur,2019-10-10 23:59:30,,RT @FcoCP96: Te das cuenta de que en España no existe la verdadera libertad de expresión cuando el presentador de una cadena privada tiene…
Megawif,2019-10-10 23:59:27,Embajadores fuera!,"RT @RodrigoDdeV13: Y al que no le guste, que no vote Vox pero mediastintas y bienquedas ya tenemos muchos.  Abascal firme en sus opiniones.…"
7Reconquistador,2019-10-10 23:59:26,,"RT @colinrivas: 🔴@Santi_ABASCAL EN DIRECTO EN @El_Hormiguero 

🗣@PabloMotosFans le pregunta sobre el #calentongueval y Amazonia 

😆 @Santi_…"
carlotipg,2019-10-10 23:59:26,,"RT @AnabelAlonso_of: ""Si hay un niño que nadie quiere y lo quiere adoptar una pareja gay, pues bueno, pero siempre es preferible  un hombre…"
CIUDADANOKANE15,2019-10-10 23:59:26,,"RT @JuanfraEscudero: 🗣Santiago Abascal, @Santi_ABASCAL, está demostrando ser una persona con gran patriotismo, una persona buena, con un gr…"
JusaFernando,2019-10-10 23:59:25,,"RT @vox_es: 📺 @Santi_ABASCAL en @El_Hormiguero 🐜

""Sí, he toreado pero sin muerte. Y se me secó la boca más que en ésta entrevista"".

 📢 #S…"
Tannhuser1,2019-10-10 23:59:25,,"RT @elentirvigo: Pablo Motos es el perfecto progre: llama ""derecho"" a liquidar a los hijos por nacer (los llama ""cigotos"", sic) y dice que…"
jrtdesing,2019-10-10 23:59:24,"Alcalá de Guadaíra, España","RT @charomerlos: #SantiagoAbascalEH
Vamos a ver, Pablo motos,  la eutanasia no es aliviar las últimas horas o días de agonía , eso ya exist…"
JuanEmilioVare2,2019-10-10 23:59:24,,"RT @elentirvigo: Pablo Motos es el perfecto progre: llama ""derecho"" a liquidar a los hijos por nacer (los llama ""cigotos"", sic) y dice que…"
cuscomita6254,2019-10-10 23:59:23,Zamora/Madrid-Torrelodones.,"RT @vox_es: 📺 @Santi_ABASCAL en @El_Hormiguero 🐜

""El otro día hablamos de la emergencia social que viven los españoles: la carestía de la…"
Megawif,2019-10-10 23:59:22,Embajadores fuera!,"RT @vox_es: 📺 @Santi_ABASCAL en @El_Hormiguero 🐜

"" (Sobre la eutanasia) Nos ponen la reflexión sobre Ramón Sampedro, un hombre en pleno us…"
Mariia_2202,2019-10-10 23:59:20,En el país de las maravillas,"RT @MontserratAmat: Bramáis contra la primera y jaleabais la segunda, os molesta un demócrata y alabáis a un terrorista, no tenéis vergüenz…"
josemartinez_88,2019-10-10 23:59:20,"Almería, España","RT @vox_es: 📺 @Santi_ABASCAL en @El_Hormiguero 🐜

""Somos los únicos que no permitiríamos que salgan los violadores de mujeres de las cárcel…"
tomas_piza3,2019-10-10 23:59:18,,"RT @CasoAislado_Es: Contundentes palabras de Santiago Abascal, presidente de @vox_es, durante su intervención en El Hormiguero. #SantiagoAb…"
ociocenter,2019-10-10 23:59:17,,RT @Ro_Edp: @El_Hormiguero ¿que tal este guión  para cuando vaya Pablo Iglesias? Ya habeis marcado el liston para esta campaña...¿estareis…
marisaa08,2019-10-10 23:59:16,,RT @RaulAstorki: Verdades como puños. #SantiagoAbascalEH https://t.co/qothzxfcbE
th3marty,2019-10-10 23:59:15,,RT @Gusanno_Gris: Anormalidad en El Hormiguero... Ha sido el único invitado con el que no ha salido ningún colaborador del programa. Entrev…
MalulaCon,2019-10-10 23:59:14,Venezuela,RT @Igarrigavaz: Vaya si resulta que después de la entrevista a @Santi_ABASCAL millones de españoles han descubierto que los de VOX ni son…
calixtaberry,2019-10-10 23:59:13,España,"RT @FroilLannister: El perdedor de esta entrevista, como de todo lo que llevamos de campaña, es Pedro Sánchez, al que Pablo Motos ha dejado…"
prodiastur,2019-10-10 23:59:13,,"RT @AgustinRosety: A nadie le han hecho una entrevista en el hormiguero como la que le han hecho hoy a @Santi_ABASCAL 

Y ha salido más que…"
miguelsnapchez,2019-10-10 23:59:10,,"RT @AnabelAlonso_of: ""Si hay un niño que nadie quiere y lo quiere adoptar una pareja gay, pues bueno, pero siempre es preferible  un hombre…"
aratobio,2019-10-10 23:59:09,"Cádiz, España",RT @JuanfraEscudero: 🗣Dice Abascal en El Hormiguero que defendería la frontera de Melilla con muros más grandes si es necesario y mandaría…
GascoJuanjo,2019-10-10 23:59:09,Torrent (Valencia) España🇪🇸,"RT @rimbaudarth: El guión de la entrevista de Pablo Motos debía ser algo así: 

⬛️ Fascista

⬛️ Xenófobo 

⬛️ Homófobo 

⬛️ Violento

⬛️ Ma…"
cuscomita6254,2019-10-10 23:59:09,Zamora/Madrid-Torrelodones.,"RT @vox_es: 📺 @Santi_ABASCAL en @El_Hormiguero 🐜

""Somos los únicos que no permitiríamos que salgan los violadores de mujeres de las cárcel…"
CeliaCoria33,2019-10-10 23:59:08,,RT @elespanolazo: #SantiagoAbascalEH Pablo Motos es un periodista objetivo que trata por igual a todos sus invitados. https://t.co/VPHtlRQn…
SEIJO_SEIJO,2019-10-10 23:59:08,Venezuela,"RT @AgustinRosety: A nadie le han hecho una entrevista en el hormiguero como la que le han hecho hoy a @Santi_ABASCAL 

Y ha salido más que…"
Megawif,2019-10-10 23:59:07,Embajadores fuera!,RT @GladiatorAstur: Pablo Motos ha hecho todo lo posible para no parecer cercano y cariñoso con @Santi_ABASCAL. Denota cierto ACOJONE de lo…
PajaritoEspanol,2019-10-10 23:59:07,,"RT @vox_es: 📺 @Santi_ABASCAL en @El_Hormiguero 🐜

""Yo me saqué la licencia de armas para proteger a mi padre en el País Vasco"".

 📢 #Santia…"
Astrid5555,2019-10-10 23:59:06,,"RT @ExtremoDerecho7: Pablo Motos, sin quererlo, le está haciendo a Abascal la mejor campaña posible haciéndole la entrevista más dura que h…"
nereaalzola,2019-10-10 23:59:06,"De Bilbao, en Madrid.","RT @ExtremoDerecho7: Pablo Motos, sin quererlo, le está haciendo a Abascal la mejor campaña posible haciéndole la entrevista más dura que h…"
franciacantu,2019-10-10 23:59:05,,RT @Igarrigavaz: Vaya si resulta que después de la entrevista a @Santi_ABASCAL millones de españoles han descubierto que los de VOX ni son…
CoqueMalagueno,2019-10-10 23:59:04,,"RT @vox_es: 📺 @Santi_ABASCAL en @El_Hormiguero 🐜

""Ordenaría la detención de Torra, la suspensión de la autonomía de Cataluña, cerrar TV3 y…"
arturo_amv15,2019-10-10 23:59:04,Mallorca,"RT @CasoAislado_Es: A ver si se enteran los progres. Pablo Motos no lo ha podido explicar mejor. #SantiagoAbascalEH. ""No sería democrático…"
turutas72,2019-10-10 23:59:04,bilbao,"RT @AnabelAlonso_of: ""Si hay un niño que nadie quiere y lo quiere adoptar una pareja gay, pues bueno, pero siempre es preferible  un hombre…"
macor972,2019-10-10 23:59:03,EL MUNDO,"RT @vox_es: 📺 @Santi_ABASCAL en @El_Hormiguero 🐜

""Ordenaría la detención de Torra, la suspensión de la autonomía de Cataluña, cerrar TV3 y…"
LAGOCHAMARACAY,2019-10-10 23:59:03,"Güigüe, Venezuela","RT @vox_es: 📺 @Santi_ABASCAL en @El_Hormiguero 🐜

"" El objetivo no es desenterrar a Franco. Es la excusa, el objetivo es Felipe VI y aún má…"
JUANESPEP,2019-10-10 23:59:02,,RT @Aker54503314: #SantiagoAbascalEH Que escándalo Santiago Abascal en televisión... https://t.co/M5TVsANDqJ
Megawif,2019-10-10 23:58:59,Embajadores fuera!,"RT @AgustinRosety: A nadie le han hecho una entrevista en el hormiguero como la que le han hecho hoy a @Santi_ABASCAL 

Y ha salido más que…"
RolandoRH,2019-10-10 23:58:59,Venezuela,"RT @Crismartinezesp: Ha sido lamentable la actitud del entrevistador Pablo Motos, solo le han preguntado por temas populistas donde sabían…"
ProVida_ProVox,2019-10-10 23:58:58,No leo DM,RT @Igarrigavaz: Vaya si resulta que después de la entrevista a @Santi_ABASCAL millones de españoles han descubierto que los de VOX ni son…
CiaGom,2019-10-10 23:58:57,SAN FERMIN,RT @JJCuerda: Quien tenga falta de memoria histórica que vote a Vox para una lección inmersiva. @eljueves #SantiagoAbascalEH https://t.co/P…
Nicole_molamazo,2019-10-10 23:58:57,,"RT @diostuitero: Gracias a la entrevista a #SantiagoAbascalEH hemos descubierto que su currículum laboral se reduce a ""una empresa que tuve…"
MorCampos33,2019-10-10 23:58:56,Triana,RT @FerminCasad: Aprended de lo que esta diciendo Pablo Motos por favor #SantiagoAbascalEH Me parece lamentable que un programa privado ten…
JorgeRichterR,2019-10-10 23:58:56,"Concepción, Chile","RT @_Sapientiae: Cuando te mola más un comunista que no tiene pudor en levantar el puño, que homenajea al Che homófobo, que ríe con azotar…"
mestremanuel,2019-10-10 23:58:56,,"RT @vox_es: 📺 @Santi_ABASCAL en @El_Hormiguero 🐜

""Sí, he toreado pero sin muerte. Y se me secó la boca más que en ésta entrevista"".

 📢 #S…"
LAGOCHAMARACAY,2019-10-10 23:58:55,"Güigüe, Venezuela",RT @Ivan_de_Vargas: Estoy orgulloso de #SantiagoAbascalEH. Me representa. Su entrevista en @El_Hormiguero es la más agresiva que ha realiza…
Astrid5555,2019-10-10 23:58:54,,RT @albertoluni: Pablo Motos cada vez que intenta dejar en evidencia a Abascal y no lo consigue #SantiagoAbascalEH https://t.co/eWaZckMtn8
Megawif,2019-10-10 23:58:53,Embajadores fuera!,"RT @vox_es: 📺 @Santi_ABASCAL en @El_Hormiguero 🐜

""Nosotros defendemos la ley de legítima defensa. Que una persona pueda defender su propie…"
carlotagopu,2019-10-10 23:58:53,"Castelldefels, España","RT @AnabelAlonso_of: ""Si hay un niño que nadie quiere y lo quiere adoptar una pareja gay, pues bueno, pero siempre es preferible  un hombre…"
israelhaunting,2019-10-10 23:58:52,,"RT @Mazzinguerzett1: Y después de está gran entrevista que estoy viendo de Santiago Abascal, sin tapujos, sin caer en las trampas y sin mie…"
fimalour,2019-10-10 23:58:51,,RT @jmdelalamo: Ha sido la entrevista más seria que ha hecho El Hormiguero nunca. Es probable que la de los otros candidatos tenga otro ton…
PRondan,2019-10-10 23:58:50,,RT @piojemos: #SantiagoAbascalEH Espero que miles de mujeres indecisas hayan escuchado decir al líder de Vox que un violador no debería sal…
